Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	33563580.60	421750075051055025XXXXXX050	REGULAR	REGULAR	START	START	1	33563580.60	421750075051055025XXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	42404009.40	204250575001005XXXXXX276XXX	REGULAR	REGULAR	START	START	1	42404009.40	204250575001005XXXXXX276XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33646950.80	313000825076080XXX076XXX050	REGULAR	REGULAR	START	START	1	33646950.80	313000825076080XXX076XXX050	REGULAR	REGULAR	START	START	1
1	FALSE	33465788.20	030500325026030XXXXXXXXX301	REGULAR	REGULAR	START	START	1	33465788.20	030500325026030XXXXXXXXX301	REGULAR	REGULAR	START	START	1
1	FALSE	33050617.80	123500700001030XXXXXXXXX050	REGULAR	REGULAR	START	START	1	33050617.80	123500700001030XXXXXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	38864160.00	401000200051080075XXXXXXXXX	REGULAR	REGULAR	START	START	1	38864160.00	401000200051080075XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33487951.40	012250450026005XXXXXXXXX050	REGULAR	REGULAR	START	START	1	33487951.40	012250450026005XXXXXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	33007407.80	234750950076055XXXXXX176301	REGULAR	REGULAR	START	START	1	33007407.80	234750950076055XXXXXX176301	REGULAR	REGULAR	START	START	1
1	FALSE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1
1	FALSE	34114701.40	414000250001055050XXXXXX050	REGULAR	REGULAR	START	START	1	34114701.40	414000250001055050XXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	69409613.20	002750000076030XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	69409613.20	002750000076030XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33925886.80	320250500026080XXX051XXX300	REGULAR	REGULAR	START	START	1	33925886.80	320250500026080XXX051XXX300	REGULAR	REGULAR	START	START	1
1	FALSE	32943429.67	333250375001080XXX026XXX051	ELITE	ELITE	START	START	1	32943429.67	333250375001080XXX026XXX051	ELITE	ELITE	START	START	1
1	FALSE	33737021.20	110750875051030XXXXXXXXX300	REGULAR	REGULAR	START	START	1	33737021.20	110750875051030XXXXXXXXX300	REGULAR	REGULAR	START	START	1
1	FALSE	39540119.40	202000625026055XXXXXX301XXX	REGULAR	REGULAR	START	START	1	39540119.40	202000625026055XXXXXX301XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33212722.80	024500125076005XXXXXXXXX300	REGULAR	REGULAR	START	START	1	33212722.80	024500125076005XXXXXXXXX300	REGULAR	REGULAR	START	START	1
1	FALSE	33447345.00	222500350051030XXXXXX201301	REGULAR	REGULAR	START	START	1	33447345.00	222500350051030XXXXXX201301	REGULAR	REGULAR	START	START	1
1	FALSE	40056770.80	000000850001080XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	40056770.80	000000850001080XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	34106795.20	311250600076005XXX076XXX301	REGULAR	REGULAR	START	START	1	34106795.20	311250600076005XXX076XXX301	REGULAR	REGULAR	START	START	1
1	FALSE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1
1	FALSE	33216006.60	213250225026080XXXXXX101301	REGULAR	REGULAR	START	START	1	33216006.60	213250225026080XXXXXX101301	REGULAR	REGULAR	START	START	1
1	FALSE	33022528.40	430750725076030075XXXXXX050	REGULAR	REGULAR	START	START	1	33022528.40	430750725076030075XXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	40093716.40	304500475051005XXX001XXXXXX	REGULAR	REGULAR	START	START	1	40093716.40	304500475051005XXX001XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33749130.80	022000975001055XXXXXXXXX301	REGULAR	REGULAR	START	START	1	33749130.80	022000975001055XXXXXXXXX301	REGULAR	REGULAR	START	START	1
1	FALSE	33455822.80	114750650051055XXXXXXXXX051	REGULAR	REGULAR	START	START	1	33455822.80	114750650051055XXXXXXXXX051	REGULAR	REGULAR	START	START	1
1	FALSE	33032877.00	332250150001005XXX026XXX300	REGULAR	REGULAR	START	START	1	33032877.00	332250150001005XXX026XXX300	REGULAR	REGULAR	START	START	1
1	FALSE	33474430.80	221000400076080XXXXXX326051	REGULAR	REGULAR	START	START	1	33474430.80	221000400076080XXXXXX326051	REGULAR	REGULAR	START	START	1
1	FALSE	38866826.40	403500900026030000XXXXXXXXX	REGULAR	REGULAR	START	START	1	38866826.40	403500900026030000XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	35832171.60	310250025001030XXX076XXX051	REGULAR	REGULAR	START	START	1	35832171.60	310250025001030XXX076XXX051	REGULAR	REGULAR	START	START	1
1	FALSE	33041008.00	032750525051055XXXXXXXXX300	REGULAR	REGULAR	START	START	1	33041008.00	032750525051055XXXXXXXXX300	REGULAR	REGULAR	START	START	1
1	FALSE	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	START	1	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	START	1
1	FALSE	45598486.00	101500275076030XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	45598486.00	101500275076030XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33865019.40	311500925051080XXX051XXX050	REGULAR	REGULAR	START	START	1	33865019.40	311500925051080XXX051XXX050	REGULAR	REGULAR	START	START	1
1	FALSE	33062725.00	034000425001030XXXXXXXXX301	REGULAR	REGULAR	START	START	1	33062725.00	034000425001030XXXXXXXXX301	REGULAR	REGULAR	START	START	1
1	FALSE	39240571.20	100250675026005XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	39240571.20	100250675026005XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33359095.20	422750175076055000XXXXXX050	REGULAR	REGULAR	START	START	1	33359095.20	422750175076055000XXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	33322066.60	013500300001005XXXXXXXXX050	REGULAR	REGULAR	START	START	1	33322066.60	013500300001005XXXXXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	33198016.00	231000800051055XXXXXX526301	REGULAR	REGULAR	START	START	1	33198016.00	231000800051055XXXXXX526301	REGULAR	REGULAR	START	START	1
1	FALSE	52309983.40	304750050076080XXX026XXXXXX	REGULAR	REGULAR	START	START	1	52309983.40	304750050076080XXX026XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33005571.40	122250550026030XXXXXXXXX050	REGULAR	REGULAR	START	START	1	33005571.40	122250550026030XXXXXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	34281921.20	020500000051005XXXXXXXXX050	REGULAR	REGULAR	START	START	1	34281921.20	020500000051005XXXXXXXXX050	REGULAR	REGULAR	START	START	1
1	FALSE	42392332.00	203000500001055XXXXXX676XXX	REGULAR	REGULAR	START	START	1	42392332.00	203000500001055XXXXXX676XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33314100.40	431750250026080025XXXXXX051	REGULAR	REGULAR	START	START	1	33314100.40	431750250026080025XXXXXX051	REGULAR	REGULAR	START	START	1
1	FALSE	33899279.40	114250750076030XXXXXXXXX300	REGULAR	REGULAR	START	START	1	33899279.40	114250750076030XXXXXXXXX300	REGULAR	REGULAR	START	START	1
1	FALSE	33283569.40	232500875076005XXXXXX401051	REGULAR	REGULAR	START	START	1	33283569.40	232500875076005XXXXXX401051	REGULAR	REGULAR	START	START	1
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	STANDARD	1	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	STANDARD	1	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	STANDARD	2
1	TRUE	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	STANDARD	1	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	STANDARD	2
1	TRUE	32943429.67	333250375001080XXX026XXX051	ELITE	ELITE	START	STANDARD	1	32943429.67	333250375001080XXX026XXX051	ELITE	ELITE	START	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	32817690.38	433500375026055075XXXXXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33803362.00	312500925026030XXX026XXX050	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	32806181.80	434000350026055000XXXXXX050	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	33029510.80	114000450001055XXXXXXXXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	32894990.20	232750500026005XXXXXX501050	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	38796204.00	001750975051005XXXXXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	33751576.00	320500500026080XXX001XXX050	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	33192535.00	312750250051055XXX051XXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	32934097.00	134000425001080XXXXXXXXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33674907.60	122500500076005XXXXXXXXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	32811235.60	132750525026055XXXXXXXXX301	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	43879131.40	202000475051005XXXXXX651XXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33922540.60	020750625001055XXXXXXXXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	34066163.00	210500525026030XXXXXX301051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	34520545.80	213250325051005XXXXXX426051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33672616.40	123500275051005XXXXXXXXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33896133.80	011500400026005XXXXXXXXX301	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	START	1	38033244.60	103500950026030XXXXXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	START	1	33834027.60	411000125001005025XXXXXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	33476471.80	214250175001080XXXXXX226050	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	32791926.20	333500775026005XXX001XXX051	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	32751193.89	133000625026005XXXXXXXXX050	ELITE	ELITE	STANDARD	STANDARD	2
1	TRUE	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	START	1	33172791.40	323250175026030XXX051XXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	32934650.60	422750800026005050XXXXXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	38278709.80	102250525026080XXXXXXXXXXXX	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	33180682.80	024000125026030XXXXXXXXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	33077812.20	113750400001030XXXXXXXXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	START	1	32866006.00	422500575051005050XXXXXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33048808.40	222500425076030XXXXXX026050	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	32895417.40	431000325026005000XXXXXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32943429.67	333250375001080XXX026XXX051	ELITE	ELITE	START	START	1	33156110.40	214500625001080XXXXXX126301	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32958116.17	424000775026005050XXXXXX051	ELITE	ELITE	START	START	1	33508663.80	223250650051030XXXXXX226051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33536141.40	221500750051055XXXXXX226051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33032770.60	424000500001055075XXXXXX300	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33856555.20	420500850001005050XXXXXX050	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32819454.62	133750100026055XXXXXXXXX050	ELITE	ELITE	START	START	1	32997289.80	123250625001030XXXXXXXXX050	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33916740.40	123250175051005XXXXXXXXX051	REGULAR	REGULAR	STANDARD	STANDARD	2
1	TRUE	32791682.61	131500750051005XXXXXXXXX051	ELITE	ELITE	START	START	1	33843748.20	411000675001005000XXXXXX050	REGULAR	REGULAR	STANDARD	STANDARD	2
