Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	38903730.60	303750854076065XXX091XXXXXX	REGULAR	REGULAR	START	START	1	38903730.60	303750854076065XXX091XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32923926.80	121350359031020XXXXXXXXX201	REGULAR	REGULAR	START	START	1	32923926.80	121350359031020XXXXXXXXX201	REGULAR	REGULAR	START	START	1
1	FALSE	33752359.60	012540600016035XXXXXXXXX051	REGULAR	REGULAR	START	START	1	33752359.60	012540600016035XXXXXXXXX051	REGULAR	REGULAR	START	START	1
1	FALSE	33514661.20	230000105061095XXXXXX511350	REGULAR	REGULAR	START	START	1	33514661.20	230000105061095XXXXXX511350	REGULAR	REGULAR	START	START	1
1	FALSE	39605321.40	200750480016035XXXXXX601XXX	REGULAR	REGULAR	START	START	1	39605321.40	200750480016035XXXXXX601XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33727425.80	423150975076080015XXXXXX051	REGULAR	REGULAR	START	START	1	33727425.80	423150975076080015XXXXXX051	REGULAR	REGULAR	START	START	1
1	FALSE	32945975.00	311950225046050XXX001XXX051	REGULAR	REGULAR	START	START	1	32945975.00	311950225046050XXX001XXX051	REGULAR	REGULAR	START	START	1
1	FALSE	33053161.40	034500735001005XXXXXXXXX350	REGULAR	REGULAR	START	START	1	33053161.40	034500735001005XXXXXXXXX350	REGULAR	REGULAR	START	START	1
1	FALSE	32944624.80	431650540031050015XXXXXX200	REGULAR	REGULAR	START	START	1	32944624.80	431650540031050015XXXXXX200	REGULAR	REGULAR	START	START	1
1	FALSE	35048368.40	114200044076005XXXXXXXXX351	REGULAR	REGULAR	START	START	1	35048368.40	114200044076005XXXXXXXXX351	REGULAR	REGULAR	START	START	1
1	FALSE	34038694.40	020440794046020XXXXXXXXX201	REGULAR	REGULAR	START	START	1	34038694.40	020440794046020XXXXXXXXX201	REGULAR	REGULAR	START	START	1
1	FALSE	39071966.80	302850285001065XXX091XXXXXX	REGULAR	REGULAR	START	START	1	39071966.80	302850285001065XXX091XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33463725.60	233450165090035XXXXXX376050	REGULAR	REGULAR	START	START	1	33463725.60	233450165090035XXXXXX376050	REGULAR	REGULAR	START	START	1
1	FALSE	33999864.00	411050660046080060XXXXXX351	REGULAR	REGULAR	START	START	1	33999864.00	411050660046080060XXXXXX351	REGULAR	REGULAR	START	START	1
