network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E1-L1, E2-L1;min;40.97;2;4906;1381;3061;464;3521;1;1.43538524256013;0.717692621280065;0.717692621280065;1;0;0.05;0;1;0;NA;0;1385;4404;4056;347;0;465;37;0.000203832042397065;0.281492050550347;0.623929881777415;0.0945780676722381;0.897676314716673;0.826742763962495;0.0707297187117815;0;0.0947818997146351;0.0075417855686914;0.715485921889192;0.715485921889192;0.714497041420118;0;0.726224783861671;9.0806916426513;NA;NA
E1-L2, E2-L2;min;40.97;2;4904;1381;3059;464;3520;1;1.43556280587276;0.717781402936378;0.717781402936378;1;0;0.05;0;1;0;NA;0;1385;4402;4055;346;0;465;37;0.000203915171288744;0.281606851549755;0.623776508972268;0.0946166394779772;0.897634584013051;0.826876019575856;0.0705546492659054;0;0.0948205546492659;0.00754486133768352;0.715583825533848;0.715583825533848;0.714673242909988;0;0.725433526011561;9.10404624277457;NA;NA
E1-L3, E2-L3;min;40.97;2;4852;1379;3021;452;3503;1;1.4439406430338;0.7219703215169;0.7219703215169;1;0;0.05;0;1;0;NA;0;1360;4363;4016;345;1;453;36;0.000206100577081616;0.284212695795548;0.622629843363561;0.0931574608408904;0.89921681780709;0.827699917559769;0.0711046990931575;0.000206100577081616;0.093363561417972;0.00741962077493817;0.720834288333715;0.722897089158836;0.717629482071713;0;0.756521739130435;9.08695652173913;1;19
E3-L1, E4-L1;min;52.67;2;9401;2654;6366;381;6747;1;1.43537921497713;0.717689607488565;0.717689607488565;0;0;0;1;0;0;0;1;2654;9401;8985;415;0;0;0;0.000106371662589086;0.282310392511435;0.677162004042123;0.0405276034464419;1;0.95574938836294;0.0441442399744708;0;0;0;0.717689607488565;0.717689607488565;0.715859766277129;0;0.759036144578313;16.2578313253012;NA;NA
E3-L2, E4-L2;min;52.67;2;9384;2654;6351;379;6736;1;1.43563512361466;0.717817561807332;0.717817561807332;0;0;0;1;0;0;0;1;2653;9384;8969;414;0;0;0;0.000106564364876385;0.282821824381927;0.676790281329923;0.04038789428815;1;0.9557757885763;0.0441176470588235;0;0;0;0.717817561807332;0.717817561807332;0.715910357899431;0;0.760869565217391;16.2705314009662;NA;NA
E3-L3, E4-L3;min;52.67;2;9093;2653;6086;354;6598;1;1.45122621796987;0.725613108984933;0.725613108984933;0;0;0;1;0;0;0;1;2615;9093;8684;408;0;0;0;0.000109974705817662;0.291762894534257;0.669306059606291;0.0389310458594523;1;0.955020345320576;0.0448696799736061;0;0;0;0.725613108984933;0.725613108984933;0.72098111469369;0;0.825980392156863;16.171568627451;NA;NA
E5-L1, E6-L1;min;13.87;2;5045;1450;3217;378;3594;1;1.42477700693756;0.712388503468781;0.712388503468781;0;0;0;1;0;0;0;1;1451;4145;3809;335;0;826;74;0.000198216055500496;0.287413280475719;0.637661050545094;0.0749256689791873;0.821605550049554;0.755004955401388;0.066402378592666;0;0.163726461843409;0.0146679881070367;0.713630880579011;0.713630880579011;0.711735363612497;0;0.737313432835821;8.82985074626866;NA;NA
E5-L2, E6-L2;min;13.87;2;5041;1450;3212;379;3593;1;1.42551081134696;0.712755405673478;0.712755405673478;0;0;0;1;0;0;0;1;1448;4144;3807;336;0;824;73;0.000198373338623289;0.287641341003769;0.637175163658004;0.0751834953382265;0.82205911525491;0.755207300138861;0.0666534417774251;0;0.16345963102559;0.0144812537195001;0.714285714285714;0.717664092664093;0.71210927239296;0;0.741071428571429;8.85119047619048;NA;NA
E5-L3, E6-L3;min;13.87;2;4999;1450;3179;370;3578;1;1.43148629725945;0.715743148629726;0.715743148629726;0;0;0;1;0;0;0;1;1431;4114;3777;335;1;814;71;0.0002000400080016;0.29005801160232;0.635927185437087;0.0740148029605921;0.822964592918584;0.755551110222044;0.0670134026805361;0.0002000400080016;0.162832566513303;0.0142028405681136;0.718522119591638;0.725085075352455;0.714853057982526;0;0.758208955223881;8.90149253731343;2;1
E7-L1, E8-L1;min;8.69;2;10133;2783;6904;446;7349;1;1.45050824040264;0.725254120201322;0.725254120201322;1;0;0.05;0;1;0;6;1;2784;9199;8798;400;0;891;43;9.86874568242376e-05;0.274647192341853;0.681338201914537;0.04401460574361;0.907825915326162;0.868252245139643;0.0394749827296951;0;0.0879305240303957;0.00424356064344222;0.726057180128275;0.726057180128275;0.724369174812457;0;0.7625;16.6975;NA;NA
E7-L2, E8-L2;min;8.69;2;10100;2783;6873;444;7334;1;1.45227722772277;0.726138613861386;0.726138613861386;1;0;0.05;0;1;0;6;1;2775;9171;8770;400;0;886;43;9.9009900990099e-05;0.275544554455446;0.680495049504951;0.043960396039604;0.908019801980198;0.868316831683168;0.0396039603960396;0;0.0877227722772277;0.00425742574257426;0.727074473885073;0.727074473885073;0.72497149372862;0;0.7725;16.67;NA;NA
E7-L3, E8-L3;min;8.69;2;9697;2781;6508;408;7160;1;1.47674538517067;0.738372692585336;0.738372692585336;1;0;0.05;0;1;0;6;1;2742;8805;8409;393;2;851;41;0.000103124677735382;0.286789728782098;0.671135402701867;0.0420748685160359;0.908012787460039;0.867175415076828;0.0405279983500052;0.000206249355470764;0.0877591007528102;0.00422811178715067;0.740488358886996;0.744804088586031;0.732310619574266;0;0.908396946564885;16.5623409669211;2;24.5
E10-L1, E9-L1;min;7.91;2;5645;1448;4000;197;4197;1;1.48697962798937;0.743489813994686;0.743489813994686;0;0;0;1;0;0;0;1;1448;4611;4253;358;0;950;83;0.000177147918511957;0.256510186005314;0.70859167404783;0.0348981399468556;0.816829052258636;0.753410097431355;0.0634189548272808;0;0.16829052258636;0.0147032772364925;0.743005855562785;0.743005855562785;0.742299553256525;0;0.751396648044693;9.56983240223464;NA;NA
E10-L2, E9-L2;min;7.91;2;5634;1448;3990;196;4194;1;1.4888178913738;0.744408945686901;0.744408945686901;0;0;0;1;0;0;0;1;1441;4605;4246;357;2;947;81;0.00017749378771743;0.257011004614839;0.708200212992545;0.0347887823926163;0.817358892438765;0.753638622648207;0.0633652822151225;0.00035498757543486;0.168086616968406;0.0143769968051118;0.744408251900109;0.749619978284473;0.743052284503062;0;0.753501400560224;9.58823529411765;2;14.5
