network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BL-WSR;min;32392319.6;20;8790;8361;428;1820;6822;148;6970;5828;0;1142;0.163845050215208;1737;83;0.897210743801653;0.102789256198347;0.887026625649729;0.11297337435027;1;1.58589306029579;0.792946530147895;0.792946530147895;0.792249730893434;0;0.80607476635514;16.285046728972;1;0;0.05;0;1;0;10;1;1820;0.244449021799215;0.000113765642775882;0.951194539249147;0.0486916951080774;0.207053469852105;0.776109215017065;0.0168373151308305;0.836154949784792;0;0.163845050215208
BL-WSR;min;32392319.6;20;8755;8327;427;1820;6787;148;6952;5813;0;1139;0.163837744533947;1737;83;0.897316821465428;0.102683178534572;0.887026625649729;0.11297337435027;1;1.58812107367219;0.794060536836094;0.794060536836094;0.793202834153957;0;0.810304449648712;16.2810304449649;1;0;0.05;0;1;0;10;1;1809;0.244449021799215;0.000114220445459737;0.951113649343232;0.0487721302113078;0.207881210736722;0.775214163335237;0.0169046259280411;0.836162255466053;0;0.163837744533947
BL-WSR;min;32395660.4;20;8426;8002;423;1818;6464;144;6863;5760;0;1103;0.160716887658458;1735;83;0.897528321318229;0.102471678681771;0.887026625649729;0.11297337435027;1;1.62900545929267;0.814502729646333;0.814502729646333;0.80829792551862;0;0.931442080378251;16.2245862884161;1;0;0.05;0;1;0;6;1;1780;0.244449021799215;0.000118680275338239;0.949679563256587;0.050201756468075;0.215760740564918;0.767149299786375;0.0170899596487064;0.839283112341542;0;0.160716887658458
BL-SR;min;32373215.22;20;8796;8359;436;1820;6847;129;6976;5935;0;1041;0.149225917431193;1738;82;0.897263810015488;0.102736189984512;0.879814775836666;0.120185224163334;1;1.58617553433379;0.793087767166894;0.793087767166894;0.792080392391434;0;0.811926605504587;16;1;0;0.05;0;1;0;12;1;1820;0.2850717404574;0.00011368804001819;0.950318326512051;0.0495679854479309;0.206912232833106;0.778422010004547;0.0146657571623465;0.850774082568807;0;0.149225917431193
BL-SR;min;32373215.22;20;8766;8329;436;1820;6817;129;6959;5914;0;1045;0.150165253628395;1738;82;0.897316821465428;0.102683178534572;0.879814775836666;0.120185224163334;1;1.58772530230436;0.793862651152179;0.793862651152179;0.792291991835755;0;0.823394495412844;15.9610091743119;1;0;0.05;0;1;0;12;1;1812;0.2850717404574;0.000114077116130504;0.95014830025097;0.0497376226328998;0.207620351357518;0.777663700661647;0.014715947980835;0.849834746371605;0;0.150165253628395
BL-SR;min;32395125.22;20;8438;8010;427;1818;6492;128;6876;5867;0;1009;0.14674229203025;1736;82;0.897686375321337;0.102313624678663;0.879814775836666;0.120185224163334;1;1.62977008769851;0.814885043849253;0.814885043849253;0.807615480649189;0;0.950819672131147;16.1030444964871;1;0;0.05;0;1;0;12;1;1777;0.2850717404574;0.000118511495615075;0.949277079876748;0.0506044086276369;0.215453899028206;0.769376629533065;0.0151694714387296;0.85325770796975;0;0.14674229203025
BH-WSR;min;32353334.2;20;17164;16712;451;3660;13367;137;13504;11011;0;2493;0.184611966824645;3586;74;0.949179460031763;0.0508205399682372;0.932340473003124;0.0676595269968764;1;1.57352598461897;0.786762992309485;0.786762992309485;0.785423647678315;0;0.835920177383592;29.9423503325942;1;0;0.05;0;1;0;18;1;3660;0.210657850084814;5.82614775110697e-05;0.973665812164996;0.0262759263574924;0.213237007690515;0.778781169890468;0.00798182241901655;0.815388033175355;0;0.184611966824645
BH-WSR;min;32353334.2;20;16912;16463;448;3660;13119;133;13386;10920;0;2466;0.184222321828776;3586;74;0.94923320994183;0.0507667900581703;0.932340473003124;0.0676595269968764;1;1.58301797540208;0.791508987701041;0.791508987701041;0.78885986758185;0;0.888392857142857;29.8794642857143;1;0;0.05;0;1;0;18;1;3638;0.210657850084814;5.91296121097446e-05;0.973450804162725;0.0264900662251656;0.216414380321665;0.775721381267739;0.00786423841059603;0.815777678171224;0;0.184222321828776
BH-WSR;min;32367240.6;20;15370;14935;434;3657;11586;127;12733;10572;0;2161;0.169716484724731;3582;75;0.948280388553426;0.0517196114465739;0.932340473003124;0.0676595269968764;1;1.65686402081978;0.828432010409889;0.828432010409889;0.817609641781051;0;1.20046082949309;29.3387096774194;1;0;0.05;0;1;0;8;1;3597;0.210657850084814;6.50618087182824e-05;0.971698113207547;0.0282368249837345;0.237931034482759;0.75380611581002;0.00826284970722186;0.830283515275269;0;0.169716484724731
BH-SR;min;32365001.6;20;17109;16649;459;3660;13288;161;13451;11441;0;2010;0.149431269050628;3592;68;0.954050464807437;0.0459495351925631;0.934197239986536;0.0658027600134635;1;1.57238880121573;0.786194400607867;0.786194400607867;0.784371433719743;0;0.851851851851852;29.3050108932462;1;0;0.05;0;1;0;5;1;3659;0.188481100168362;5.84487696533988e-05;0.973113565959437;0.02682798527091;0.21392249693144;0.776667251154363;0.00941025191419721;0.850568730949372;0;0.149431269050628
