network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E1-L1;min;1217058.44;20;1621;1490;130;748;708;165;1141;599;0;542;0.475021910604733;705;43;0.895569620253165;0.104430379746835;0.852914389799636;0.147085610200364;1;1.4077729796422;0.703886489821098;0.703886489821098;0.650335570469799;0;1.31538461538462;8.77692307692308;1;0;0.05;0;1;0;1;1;657;0.241646101392705;0.000616903146206046;0.919185687847008;0.0801974090067859;0.461443553362122;0.43676742751388;0.101789019123998;0.524978089395267;0;0.475021910604733
E1-L2;min;1222563.33;20;938;840;97;553;286;99;963;450;0;513;0.532710280373832;528;25;0.946308724832215;0.0536912751677852;0.852914389799636;0.147085610200364;1;2.05330490405117;1.02665245202559;1.02665245202559;0.803571428571429;0;2.95876288659794;9.92783505154639;1;0;0.05;0;1;0;1.5;2;381;0.241646101392705;0.00106609808102345;0.895522388059702;0.103411513859275;0.58955223880597;0.304904051172708;0.105543710021322;0.467289719626168;0;0.532710280373832
E1-L3;min;1460106.86;20;380;329;50;302;32;46;672;313;0;359;0.53422619047619;286;15;0.964527027027027;0.035472972972973;0.852914389799636;0.147085610200364;1;3.53684210526316;1.76842105263158;1.76842105263158;1.33738601823708;0;4.62;13.44;1;0;0.05;1;0;0;4.85714285714286;14;124;0.241646101392705;0.00263157894736842;0.865789473684211;0.131578947368421;0.794736842105263;0.0842105263157895;0.121052631578947;0.46577380952381;0;0.53422619047619
E2-L1;min;1268136.44;20;1601;1465;135;727;736;138;1147;570;0;577;0.50305143853531;685;42;0.89545934530095;0.10454065469905;0.851480637813212;0.148519362186788;1;1.43285446595878;0.716427232979388;0.716427232979388;0.661433447098976;0;1.31111111111111;8.4962962962963;1;0;0.05;0;1;0;3.33333333333333;3;638;0.242480648594532;0.000624609618988132;0.915053091817614;0.0843222985633979;0.454091193004372;0.459712679575265;0.0861961274203623;0.496948561464691;0;0.50305143853531
E2-L2;min;1271632.67;20;921;823;97;525;302;94;1003;471;0;532;0.530408773678963;498;27;0.942234848484849;0.0577651515151515;0.851480637813212;0.148519362186788;1;2.17806731813246;1.08903365906623;1.08903365906623;0.854191980558931;0;3.08247422680412;10.340206185567;1;0;0.05;0;1;0;5.46153846153846;13;352;0.242480648594532;0.001085776330076;0.893593919652552;0.105320304017372;0.570032573289902;0.327904451682953;0.102062975027144;0.469591226321037;0;0.530408773678963
E2-L3;min;1453830.57;20;379;330;48;297;34;48;724;299;0;425;0.587016574585635;281;15;0.964853556485356;0.0351464435146444;0.851480637813212;0.148519362186788;1;3.82058047493404;1.91029023746702;1.91029023746702;1.45454545454545;0;5.08333333333333;15.0833333333333;0;0;0;1;0;0;0;1;125;0.242480648594532;0.00263852242744063;0.870712401055409;0.12664907651715;0.783641160949868;0.0897097625329815;0.12664907651715;0.412983425414365;0;0.587016574585635
E3-L1;min;1265596.44;20;2758;2620;137;1421;1202;135;2195;1164;0;1031;0.469703872437358;1368;52;0.938553022794846;0.0614469772051536;0.92;0.08;1;1.59173313995649;0.795866569978245;0.795866569978245;0.738931297709924;0;1.89051094890511;15.963503649635;0;8;0;1;0;0;0;1;1170;0.170225152244145;0.000362581580855693;0.949963741841914;0.0496736765772299;0.515228426395939;0.435823060188542;0.0489485134155185;0.530296127562642;0;0.469703872437358
E3-L2;min;1515436.57;20;1271;1171;99;956;254;61;1593;767;0;826;0.518518518518518;907;48;0.956263899184581;0.0437361008154188;0.92;0.08;1;2.50668764752164;1.25334382376082;1.25334382376082;1.0264730999146;0;3.94949494949495;16.0909090909091;0;0;0;1;0;0;0;1;524;0.170225152244145;0.000786782061369001;0.9213217938631;0.0778914240755311;0.752163650668765;0.199842643587726;0.0479937057435091;0.481481481481481;0;0.518518518518518
E3-L3;min;1525948.86;20;399;346;52;370;0;29;1003;457;0;546;0.544366899302094;342;27;0.96865621873958;0.0313437812604201;0.92;0.08;1;5.02756892230576;2.51378446115288;2.51378446115288;1.99132947976879;0;6.03846153846154;19.2884615384615;0;0;0;1;0;0;0;1;106;0.170225152244145;0.0025062656641604;0.867167919799499;0.130325814536341;0.927318295739348;0;0.0726817042606516;0.455633100697906;0;0.544366899302094
E4-L1;min;1265596.44;20;2901;2756;144;1417;1360;124;2444;1241;0;1203;0.492225859247136;1364;52;0.938506588579795;0.061493411420205;0.915489800493163;0.084510199506837;1;1.68493622888659;0.842468114443295;0.842468114443295;0.779390420899855;0;2.05555555555556;16.9166666666667;0;8;0;1;0;0;0;1;1162;0.211905520315242;0.000344708721130645;0.950017235436057;0.0496380558428128;0.488452257842123;0.468803860737677;0.0427438814201999;0.507774140752864;0;0.492225859247136
E4-L2;min;1513830.86;20;1305;1205;99;975;252;78;1992;998;0;994;0.498995983935743;938;36;0.972171365800073;0.0278286341999268;0.915489800493163;0.084510199506837;1;3.05287356321839;1.5264367816092;1.5264367816092;1.20746887966805;0;5.42424242424242;20.1212121212121;0;0;0;1;0;0;0;1;491;0.211905520315242;0.000766283524904215;0.923371647509579;0.0758620689655172;0.747126436781609;0.193103448275862;0.0597701149425287;0.501004016064257;0;0.498995983935743
E4-L3;min;1525948.86;20;400;347;52;361;0;39;1225;600;0;625;0.510204081632653;339;21;0.980068728522337;0.0199312714776632;0.915489800493163;0.084510199506837;1;6.125;3.0625;3.0625;2.44380403458213;0;7.25;23.5576923076923;0;0;0;1;0;0;0;1;91;0.211905520315242;0.0025;0.8675;0.13;0.9025;0;0.0975;0.489795918367347;0;0.510204081632653
