network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
BL-WSR;min;40.97;20;4657;4293;363;1315;2887;455;3339;1986;0;1353;0.405211141060198;1219;96;0.840689655172414;0.159310344827586;0.838212334113973;0.161787665886027;1;1.43397036718918;0.716985183594589;0.716985183594589;0.716282320055905;0;0.724517906336088;9.19834710743802;1;0;0.05;0;1;0;NA;0;1319;0.211788510394849;0.000214730513205927;0.921838093193043;0.0779471762937513;0.282370624865793;0.61992699162551;0.0977023835086966;0.594788858939802;0;0.405211141060198
BL-WSR;min;40.97;20;4472;4116;355;1314;2740;418;3279;1939;0;1340;0.408661177188167;1219;95;0.841455044612217;0.158544955387783;0.838212334113973;0.161787665886027;1;1.46645796064401;0.733228980322004;0.733228980322004;0.722789115646258;0;0.853521126760563;9.23661971830986;1;0;0.05;0;1;0;NA;0;1279;0.211788510394849;0.000223613595706619;0.920393559928444;0.0793828264758497;0.293828264758497;0.612701252236136;0.0934704830053667;0.591338822811833;0;0.408661177188167
BL-WSR;min;40.97;20;3843;3526;316;1287;2250;306;3058;1751;0;1307;0.427403531720079;1196;91;0.852822580645161;0.147177419354839;0.838212334113973;0.161787665886027;1;1.59146500130107;0.795732500650533;0.795732500650533;0.754679523539421;0;1.25316455696203;9.67721518987342;1;0;0.05;0;1;0;10.5;4;1192;0.211788510394849;0.000260213374967473;0.917512360135311;0.0822274264897216;0.334894613583138;0.585480093676815;0.0796252927400468;0.572596468279921;0;0.427403531720079
BL-SR;min;40.97;20;4649;4282;366;1315;2876;458;3331;1993;0;1338;0.401681176823777;1219;96;0.838953888506538;0.161046111493462;0.837372947615324;0.162627052384676;1;1.43299634329963;0.716498171649817;0.716498171649817;0.715553479682391;0;0.726775956284153;9.10109289617486;1;0;0.05;0;1;0;NA;0;1319;0.210290758381944;0.000215100021510002;0.921058292105829;0.0787266078726608;0.282856528285653;0.618627661862766;0.098515809851581;0.598318823176223;0;0.401681176823777
BL-SR;min;40.97;20;4470;4112;357;1314;2735;421;3273;1940;0;1333;0.407271616254201;1219;95;0.839616175462646;0.160383824537354;0.837372947615324;0.162627052384676;1;1.46442953020134;0.732214765100671;0.732214765100671;0.721546692607004;0;0.854341736694678;9.16806722689076;1;0;0.05;0;1;0;NA;0;1279;0.210290758381944;0.000223713646532438;0.919910514541387;0.0798657718120805;0.293959731543624;0.611856823266219;0.0941834451901566;0.592728383745799;0;0.407271616254201
BL-SR;min;40.97;20;3859;3540;318;1292;2261;306;3062;1766;0;1296;0.423252775963423;1200;92;0.849094567404427;0.150905432595573;0.837372947615324;0.162627052384676;1;1.58693962166364;0.793469810831822;0.793469810831822;0.75225988700565;0;1.25157232704403;9.62893081761006;1;0;0.05;0;1;0;12.9285714285714;14;1196;0.210290758381944;0.000259134490800726;0.917336097434569;0.0824047680746307;0.334801762114537;0.585903083700441;0.079295154185022;0.576747224036577;0;0.423252775963423
BH-WSR;min;52.67;20;9384;8969;414;2654;6351;379;6736;3923;0;2813;0.417606888361045;2553;100;0.918374685364977;0.0816253146350234;0.905764966740576;0.0942350332594235;1;1.43563512361466;0.717817561807332;0.717817561807332;0.715910357899431;0;0.760869565217391;16.2705314009662;0;0;0;1;0;0;0;1;2653;0.170067015410872;0.000106564364876385;0.9557757885763;0.0441176470588235;0.282821824381927;0.676790281329923;0.04038789428815;0.582393111638955;0;0.417606888361045
BH-WSR;min;52.67;20;8428;8030;397;2646;5470;312;6310;3545;0;2765;0.438193343898574;2544;101;0.91862117981521;0.0813788201847903;0.905764966740576;0.0942350332594235;1;1.49738965353583;0.748694826767916;0.748694826767916;0.733623910336239;0;1.05541561712846;15.8942065491184;0;0;0;1;0;0;0;1;2568;0.170067015410872;0.000118652112007594;0.952776459420978;0.0471048884670147;0.313953488372093;0.649027052681538;0.0370194589463692;0.561806656101426;0;0.438193343898574
BH-WSR;min;52.67;20;6774;6442;331;2548;4042;184;5503;2949;0;2554;0.464110485189896;2448;99;0.925851703406814;0.0741482965931864;0.905764966740576;0.0942350332594235;1;1.6247416592855;0.812370829642752;0.812370829642752;0.755045017075442;0;1.93051359516616;16.6253776435045;0;0;0;1;0;0;0;1;2317;0.170067015410872;0.000147623265426631;0.950989075878358;0.0488633008562149;0.376144080307056;0.596693238854443;0.0271626808385001;0.535889514810104;0;0.464110485189896
BH-SR;min;52.67;20;9384;8969;414;2654;6351;379;6736;3923;0;2813;0.417606888361045;2553;100;0.918374685364977;0.0816253146350234;0.905764966740576;0.0942350332594235;1;1.43563512361466;0.717817561807332;0.717817561807332;0.715910357899431;0;0.760869565217391;16.2705314009662;0;0;0;1;0;0;0;1;2653;0.170067015410872;0.000106564364876385;0.9557757885763;0.0441176470588235;0.282821824381927;0.676790281329923;0.04038789428815;0.582393111638955;0;0.417606888361045
BH-SR;min;52.67;20;8428;8030;397;2646;5470;312;6310;3545;0;2765;0.438193343898574;2544;101;0.91862117981521;0.0813788201847903;0.905764966740576;0.0942350332594235;1;1.49738965353583;0.748694826767916;0.748694826767916;0.733623910336239;0;1.05541561712846;15.8942065491184;0;0;0;1;0;0;0;1;2568;0.170067015410872;0.000118652112007594;0.952776459420978;0.0471048884670147;0.313953488372093;0.649027052681538;0.0370194589463692;0.561806656101426;0;0.438193343898574
BH-SR;min;52.67;20;6774;6442;331;2548;4042;184;5503;2949;0;2554;0.464110485189896;2448;99;0.925851703406814;0.0741482965931864;0.905764966740576;0.0942350332594235;1;1.6247416592855;0.812370829642752;0.812370829642752;0.755045017075442;0;1.93051359516616;16.6253776435045;0;0;0;1;0;0;0;1;2317;0.170067015410872;0.000147623265426631;0.950989075878358;0.0488633008562149;0.376144080307056;0.596693238854443;0.0271626808385001;0.535889514810104;0;0.464110485189896
BL-WSR;min;13.87;20;4592;4217;374;1319;2941;332;3274;1958;0;1316;0.401954795357361;1220;98;0.831177671885637;0.168822328114364;0.831069108092144;0.168930891907856;1;1.42595818815331;0.712979094076655;0.712979094076655;0.710931942138961;0;0.737967914438503;8.75401069518717;0;0;0;1;0;0;0;1;1318;0.235451414279238;0.000217770034843206;0.918336236933798;0.0814459930313589;0.287238675958188;0.640461672473868;0.0722996515679443;0.598045204642639;0;0.401954795357361
BL-WSR;min;13.87;20;4431;4062;368;1317;2798;316;3221;1929;0;1292;0.401117665321329;1219;97;0.833898305084746;0.166101694915254;0.831069108092144;0.168930891907856;1;1.45384788986685;0.726923944933424;0.726923944933424;0.716149679960611;0;0.847826086956522;8.75271739130435;0;0;0;1;0;0;0;1;1276;0.235451414279238;0.000225682690137666;0.916723087339201;0.0830512299706613;0.297224102911307;0.631460167005191;0.0713157300835026;0.598882334678671;0;0.401117665321329
